Gender,Hight,GenType,HairColor,EyeColor,Income,WeeklyWorkingHoours,PlaceOfResidence,EmptyEyes
Female,162.38238043363913,I,Red,Brown,334794.61255744006,35.81340367627041,Other,no
Female,164.458969519119,I,Red,Blue,289334.62915191636,34.03698784719819,Other,no
Male,181.20999034796364,J,Red,Brown,429272.8117518353,58.812392405179516,Copenhagen,yes
Male,175.1614858924801,I,Dark,Green,240347.94896322716,43.41791408670098,Copenhagen,no
Female,171.67000285133912,J,Blond,Green,382579.0502857234,54.50891055878307,Copenhagen,no
Male,190.55334359653702,K,Dark,Green,232507.25539839762,29.734423705654034,Other,no
Male,174.37435441828632,I,Dark,Green,404104.9979353438,51.741785275075145,Other,no
Male,167.68948596931295,I,Red,Brown,280258.35393955465,33.87869843845394,Other,no
Male,175.68910824690056,I,Dark,Green,232505.59427555767,40.33627848304853,Other,no
Female,157.0436798522688,I,Red,Brown,353666.03449414327,44.86215721223648,Other,no
Male,182.65671915844896,J,Blond,Blue,389657.6942671415,44.265841490172505,Other,no
Female,159.03270603305634,I,Red,Brown,308342.6839677351,46.91454513739206,Copenhagen,yes
Female,176.26180143100004,K,Dark,Green,176310.1146324857,25.429325095819372,Other,no
Female,163.16149422553562,I,Dark,Green,264327.526008434,31.6716068898036,Other,no
Female,161.50136424605816,I,Red,Brown,298920.2715171766,33.31377753494654,Other,no
Male,176.35814550760625,I,Blond,Blue,378651.71470379975,58.359331902006105,Copenhagen,yes
Female,169.65303565254658,J,Red,Brown,411581.65439988044,52.91506186349139,Other,yes
Male,172.22757548450042,I,Dark,Green,361242.8632541861,41.09174794050496,Other,no
Female,161.92715428008856,I,Red,Brown,341588.0156726612,52.66390227887162,Other,yes
Male,175.364407981634,I,Red,Brown,469178.48863086523,58.89790158396391,Aarhus,yes
Female,161.97404620036374,I,Dark,Green,385445.09587041097,47.26807275167574,Copenhagen,no
Female,168.8551289628198,K,Red,Brown,404747.1830379303,48.61078155521198,Copenhagen,yes
Male,176.8983820002781,J,Blond,Blue,286545.2537846568,31.372715281010265,Aarhus,no
Male,179.2188933428665,J,Blond,Blue,288328.2969786381,34.164531347200565,Other,no
Female,163.54836196497288,I,Red,Brown,316295.36696819647,35.23939040471855,Other,no
Female,167.30382173468104,J,Dark,Green,280977.02762034134,42.70998870020047,Other,no
Female,161.08205507333093,I,Red,Brown,273442.2730776872,32.552503814876665,Other,no
Male,179.36005008169317,J,Dark,Green,343712.762247967,38.97420921035015,Aarhus,no
Female,160.97196675547028,I,Red,Brown,269160.3690423164,34.49834888440875,Copenhagen,no
Male,174.16434247870964,I,Dark,Green,297321.7584614161,27.95562851868515,Other,no
Female,163.94794553281264,I,Dark,Green,344667.5627791701,45.16236163734901,Copenhagen,no
Female,162.2637686743749,I,Red,Brown,349897.739781223,47.71286252652044,Other,yes
Male,175.8971030820573,I,Dark,Green,99765.7149102971,15.428784081456655,Other,no
Female,167.2814276099948,J,Dark,Green,264640.93827740976,36.88947703761891,Other,no
Female,165.5027354646488,J,Red,Brown,146992.10534170785,18.075817681753406,Aarhus,yes
Female,160.6321092959634,I,Red,Blue,250622.3937979198,31.20476894747685,Other,no
Female,160.10243213115015,I,Dark,Green,346831.315669447,43.45222077141564,Other,no
Female,161.46858962868586,I,Dark,Green,341434.92482068035,48.69871134649564,Other,no
Female,162.1701961455444,I,Red,Brown,141754.98394355705,23.5480141003714,Aarhus,no
Male,185.42058764962664,J,Dark,Blue,157633.84551759847,22.817538605296225,Copenhagen,no
Male,189.1578217914867,K,Red,Brown,207918.65778025362,27.686618629332344,Other,no
Male,180.9334929479302,J,Dark,Green,588759.9622775516,72.5262953753403,Copenhagen,no
Female,163.27032977761948,I,Red,Brown,221199.78579198115,24.261570363847273,Other,no
Male,184.04632448025097,J,Dark,Green,133822.0014933361,25.430400954795676,Other,no
Male,176.8888823573207,I,Red,Brown,273540.81638594536,39.12337842279621,Copenhagen,no
Female,160.72064999119317,I,Blond,Blue,406806.0946528018,49.42864105229063,Other,yes
Male,174.52954433031618,I,Dark,Green,333982.78931100725,39.10870176565903,Other,no
Male,175.13831959556742,I,Blond,Blue,365690.35244960705,52.16399269873859,Other,yes
Female,175.1298573116805,K,Dark,Green,411248.471351988,59.664077766075934,Copenhagen,no
Female,169.5590501545468,J,Blond,Blue,226469.02310243173,46.1385631976991,Copenhagen,yes
Male,178.38788590023498,J,Red,Blue,316362.92976884375,33.98432520723014,Other,yes
Female,171.4332568765726,J,Blond,Blue,348220.1323904974,37.74625687316433,Other,no
Male,185.05450121864735,J,Red,Brown,189412.5821510464,29.78099844035758,Copenhagen,yes
Male,179.65042769884823,J,Red,Green,138464.7489832732,25.62599223463794,Copenhagen,yes
Male,174.95877242654444,I,Blond,Blue,312441.3090077894,50.995835019633105,Other,yes
Female,170.3421443353547,J,Blond,Blue,233658.99706242507,29.210361557343834,Other,no
Male,174.4836529424756,I,Blond,Blue,241452.15018381333,36.862364515993235,Copenhagen,no
Male,176.59038258364959,I,Red,Brown,411411.6041401138,53.251295932392665,Copenhagen,yes
Male,174.67419467774786,I,Dark,Green,315114.82967242604,46.600484798714994,Copenhagen,no
Male,188.97456380374038,K,Dark,Green,450926.76933516207,53.716313214339536,Other,no
Male,182.5223111980585,J,Dark,Green,418062.1467692901,52.880625462274125,Other,no
Male,178.42957015126774,I,Blond,Blue,539175.3264480437,58.042987863058286,Other,yes
Male,175.6591890886317,I,Dark,Green,214788.3103238006,38.98197884992271,Copenhagen,no
Male,173.66487457297842,I,Red,Brown,343346.24160696013,50.89431540404582,Copenhagen,yes
Female,171.67198144905302,J,Red,Brown,489521.8943704595,53.26359011566403,Copenhagen,yes
Female,161.2753089518476,I,Red,Brown,428105.76282430073,50.15242703479281,Other,yes
Male,174.09076644737118,I,Blond,Blue,382198.24652906903,43.13869642176187,Other,no
Male,172.35077800803512,I,Red,Brown,18646.40905097156,9.407224378002276,Other,no
Male,180.410277761734,J,Blond,Blue,519987.394120566,57.207547189864236,Copenhagen,yes
Male,182.97535649360555,J,Red,Brown,311931.49121237657,46.3266842036871,Aarhus,yes
Female,166.1753414869754,J,Red,Brown,380911.51025860256,39.957079589222786,Other,yes
Female,171.9565470963631,K,Blond,Blue,458535.17272989394,59.14304598441035,Copenhagen,yes
Male,182.84697086962083,J,Red,Brown,66130.69056805532,27.66994022961231,Copenhagen,yes
Male,180.07360093884387,J,Red,Green,224651.57583831,37.73791127964133,Other,yes
Male,175.89137616155585,I,Blond,Blue,442722.58626926853,64.26697111027326,Other,yes
Female,159.5822222155148,I,Red,Brown,445371.9253131992,50.077430122270194,Copenhagen,yes
Female,170.92421252176928,J,Blond,Blue,538699.4971067515,69.05748926996449,Copenhagen,yes
Male,174.68909649879564,I,Dark,Green,469462.944261307,58.31275048441414,Copenhagen,no
Female,163.4567796914569,I,Dark,Green,210674.2405239353,19.60989516810036,Aarhus,no
Female,173.1112152057312,K,Dark,Green,152184.41158782504,30.626857056678404,Other,no
Female,159.50027713249597,I,Red,Brown,252415.22370173206,39.767804850833905,Other,no
Female,162.64170736205938,I,Dark,Green,316369.52384200646,37.17140631948734,Other,no
Male,181.05515532212752,J,Blond,Green,394570.7691601758,57.03900496231378,Other,no
Male,184.4458760481894,J,Dark,Green,423540.49688842474,52.982549191809085,Other,no
Male,177.1001834538907,J,Dark,Green,235600.69565412975,24.361882438683438,Other,no
Male,173.37495299016268,I,Dark,Blue,141811.79354451614,27.629743183220377,Other,no
Male,182.55809045428546,J,Red,Brown,327602.32516249164,42.74177264304235,Other,yes
Female,169.2119916636511,J,Red,Brown,236635.58171154506,34.752020175988015,Other,yes
Female,167.58969988293794,J,Red,Green,315982.8245616198,50.90309212387763,Copenhagen,yes
Male,176.67590269265477,I,Blond,Blue,164194.10652536395,33.99703277862787,Copenhagen,no
Male,180.36562573302587,J,Blond,Blue,292894.941697523,48.26711365996624,Other,yes
Male,174.48530944342264,I,Red,Brown,210499.21823571005,33.70838306104795,Other,no
Male,174.80373534063096,I,Red,Brown,26336.229651777423,9.53785741223595,Other,no
Female,172.30390635843676,K,Red,Brown,413621.091794461,55.39142616745057,Other,yes
Female,163.23145894186922,I,Red,Brown,291709.2779973248,33.859476396759035,Other,no
Male,179.3916757724124,J,Dark,Blue,500506.985463364,45.74872441021948,Other,yes
Female,172.10916363450065,K,Blond,Blue,400059.4126265748,38.71000303206929,Aarhus,no
Male,173.03225405377745,I,Red,Brown,323631.74378841947,47.5846686314653,Other,yes
Female,166.88785088590808,J,Red,Brown,324679.865719715,42.01191191657531,Copenhagen,yes
Male,174.1640406351635,I,Red,Green,336911.4297560745,37.84019080255143,Other,no
Female,162.73890965532718,J,Blond,Blue,492557.0882816566,56.60692871264112,Aarhus,yes
Male,179.52762329635593,J,Dark,Green,332366.3163669846,42.52777357303354,Aarhus,no
Male,182.71760710923098,J,Dark,Green,243163.40952041344,34.83397182731056,Copenhagen,no
Male,172.5917748508461,I,Dark,Green,384373.5803993251,43.65980802307921,Other,no
Male,187.99763024315405,K,Dark,Green,397566.0981195429,44.21005408952697,Other,no
Female,171.63916232032003,K,Red,Brown,337861.2731409109,40.391505897721025,Copenhagen,no
Female,168.8817453996566,J,Blond,Blue,166373.79520897171,31.058742292770674,Copenhagen,no
Male,178.94701716640483,J,Dark,Green,349799.2837419685,47.14749756391909,Copenhagen,no
Male,175.94705880084234,I,Dark,Green,205066.24999400805,35.64213517964837,Other,no
Male,175.6057873123687,I,Dark,Green,349273.97834168654,41.74383407210318,Copenhagen,no
Male,181.9689577983921,J,Blond,Blue,557952.5901333027,47.224829983348236,Other,yes
Female,171.81686972343837,K,Dark,Green,435331.6545369478,51.55699616728478,Copenhagen,no
Female,164.74019501891888,I,Blond,Blue,262825.5390792758,32.24563852353864,Other,no
Female,169.98534025501624,J,Dark,Blue,337766.69059867866,43.20527807360195,Other,no
Female,170.5955543920851,J,Red,Brown,33595.87900902226,12.50998831804404,Other,yes
Male,181.92232795994695,J,Red,Brown,240956.9587328894,34.2695054522742,Other,yes
Female,163.8283025125665,I,Dark,Green,207805.81824259562,28.841730817337876,Copenhagen,no
Female,160.10400190905798,I,Red,Brown,208459.07327009487,41.105344269836166,Other,no
Female,166.4350624267122,J,Blond,Green,656010.6417053529,79.85265591577499,Copenhagen,no
Male,175.44013066140292,I,Red,Brown,350546.6978395858,48.44975406237357,Copenhagen,yes
Female,160.11974093576637,I,Dark,Blue,385608.2475685293,52.00603156329401,Other,yes
Female,160.01544529905044,I,Dark,Green,316664.1351165873,43.396269778002775,Other,no
Male,183.19221642411847,J,Blond,Blue,159803.83728695157,15.899347730873874,Other,no
Female,162.7541268901184,I,Blond,Blue,367767.1502074177,39.70474718151044,Copenhagen,no
Female,163.518505878501,I,Blond,Brown,318865.9556498345,42.77696796145335,Other,no
Male,176.82106861140394,I,Blond,Blue,331807.1697882586,41.6335259025575,Copenhagen,no
Male,180.92741268809323,J,Dark,Brown,351949.39452769473,60.52290707562385,Copenhagen,yes
Male,173.8259584230921,I,Dark,Green,311508.670686473,55.25734161467632,Copenhagen,no
Female,161.6961722740242,I,Dark,Green,423676.3436925067,57.231724351060166,Other,no
Female,171.64914012442938,J,Dark,Green,379919.0693279715,46.91145680593644,Copenhagen,no
Male,172.31151076047334,I,Dark,Green,192778.85921613718,37.931365645011915,Other,no
Male,181.77519810095114,J,Dark,Green,309311.06293794105,33.29651779586219,Other,no
Female,161.87303745125195,I,Dark,Green,398914.42621981225,57.50449292328125,Other,no
Male,182.18828032162259,J,Blond,Blue,231645.6542892835,34.518275160931836,Copenhagen,no
Male,167.5387942228395,I,Dark,Green,339004.9051000244,36.11197289246294,Other,no
Female,163.54032753657344,I,Dark,Blue,265656.83986424917,30.501219110069055,Other,no
Male,176.38017283789836,I,Dark,Brown,311426.46177842683,37.283853871976156,Other,no
Female,165.11580471148287,J,Blond,Blue,360565.9769408599,40.71552582715408,Aarhus,no
Female,160.67849004674613,I,Dark,Brown,336242.25721534423,37.68804898910476,Copenhagen,no
Female,159.82695293602612,I,Blond,Blue,186057.54498858,34.36668597296325,Other,no
Male,177.72835730209113,I,Dark,Green,165452.4548378696,23.1599923174305,Aarhus,no
Male,176.12596722655104,I,Dark,Green,394172.5376400162,48.153145308249286,Other,no
Male,176.39162189707693,I,Blond,Green,198869.60609065142,40.69752674717848,Copenhagen,no
Female,170.66586702564103,J,Blond,Blue,380845.6817084565,41.738878739139096,Other,no
Male,176.2227309057204,I,Red,Brown,317452.9341276223,49.828758821884676,Other,yes
Female,159.82003050022405,I,Blond,Blue,331412.59796928527,46.28020723124895,Copenhagen,yes
Female,160.92121189869306,I,Red,Brown,358544.0573633654,37.23635988461526,Aarhus,no
Male,176.1048958665696,I,Blond,Brown,309761.4359311501,34.10301732637096,Other,no
Female,160.4920487389275,I,Red,Brown,363137.2397376672,37.81359485933564,Other,no
Female,157.86361830234605,I,Red,Brown,109087.2223461257,18.818491962902527,Copenhagen,no
Female,160.62326301254052,I,Dark,Green,277144.6242324445,40.611412381905325,Aarhus,no
Female,159.9224375750099,I,Blond,Blue,291222.69248924573,40.43456987126313,Copenhagen,no
Male,176.03126158841073,I,Red,Brown,307630.4905581638,43.399968641470224,Other,no
Male,182.4343780252994,J,Dark,Green,294885.6311737553,30.260892440300488,Copenhagen,no
Female,165.05186239482555,J,Blond,Blue,333225.9290854075,47.45296695388245,Copenhagen,yes
Female,167.30635183282553,J,Blond,Blue,160422.08945968872,24.01086396244596,Aarhus,no
Male,176.60804971037794,I,Dark,Green,344315.70919834403,51.40431272243954,Copenhagen,no
Male,184.49719329565463,K,Red,Blue,536686.0663863617,63.26538612810616,Other,yes
Male,174.5777559902425,I,Red,Green,360618.11387416074,37.49714239560343,Other,no
Female,159.6139991466511,I,Dark,Green,425469.42659897043,37.75373143087763,Aarhus,no
Male,178.52856628950622,I,Blond,Blue,556932.2261907272,62.49938328881696,Copenhagen,yes
Male,181.3701484567774,J,Red,Brown,362586.1274929175,36.31012959168831,Copenhagen,no
Male,182.3756943427362,J,Red,Brown,226381.30284680356,32.085247252869486,Other,yes
Female,159.92113758489515,I,Red,Brown,254300.5584905799,38.775652096100615,Copenhagen,no
Male,176.12741170448294,I,Dark,Blue,325262.8614504244,39.33280488761922,Aarhus,no
Female,166.40787745436117,J,Red,Blue,210532.45684415387,33.79421484604228,Other,yes
Female,163.28344970241923,J,Dark,Green,329502.88369871996,55.82068276282642,Copenhagen,no
Female,159.74149731405183,I,Dark,Green,260127.2730100008,30.572045960720022,Other,no
Female,158.66256313306852,I,Red,Brown,238236.1605483187,36.53549100404078,Other,no
Female,165.47963848620105,J,Blond,Blue,335165.5355575407,50.15761376400293,Copenhagen,yes
Male,177.08867343584444,I,Dark,Green,270139.5584290784,21.996681599399064,Other,yes
Male,179.81749090144115,J,Dark,Green,262494.0628785251,35.090583395396486,Copenhagen,no
Female,165.78480528591948,J,Red,Blue,218298.61075216974,28.747791957994316,Other,yes
Male,175.0730169568666,I,Dark,Green,301798.3965528133,31.814495696233937,Other,no
Female,160.93901095069958,I,Red,Brown,355584.06869511906,45.37076600388798,Other,yes
Female,166.8798334516046,J,Dark,Green,297595.474312301,38.23095424100576,Other,no
Male,175.67030856040384,I,Red,Brown,261501.42349714972,36.47201033323368,Other,no
Male,174.11558811577342,I,Blond,Blue,203854.29731947155,35.54021073385972,Copenhagen,no
Male,181.28946008365529,J,Dark,Green,353389.7936171725,46.64215107234425,Copenhagen,no
Female,167.33704411629733,J,Blond,Blue,353187.5025554318,29.556211441617865,Other,no
Male,180.63338349200404,J,Blond,Brown,376345.1652353822,41.588518079008594,Other,no
Male,174.9064419032366,I,Blond,Blue,426269.1352399823,65.56884154072395,Copenhagen,yes
Male,174.89890284359356,I,Red,Brown,456727.9119667894,56.00373259766077,Other,yes
Male,182.8461098963328,J,Dark,Blue,383902.19912210613,46.64099704658692,Copenhagen,yes
Female,160.09588883650767,I,Dark,Blue,434669.6922039041,56.312045728369625,Other,yes
Female,159.73936382092717,I,Red,Brown,399649.13023414754,50.74329394266784,Copenhagen,yes
Male,171.27784219960802,I,Dark,Green,392248.48710190604,52.61221818609543,Other,no
Female,166.19290752898897,J,Red,Green,209451.33911055268,25.850489019896074,Other,yes
Female,169.8469537342546,J,Blond,Green,503619.55944476393,55.64303814236483,Other,no
Female,163.93144045540112,I,Blond,Brown,227491.57999271134,40.78473977204912,Copenhagen,no
Male,189.6989479500347,K,Red,Brown,395020.54630978365,46.27304864923353,Other,yes
Male,178.81216468260538,J,Dark,Green,315184.1573857455,38.22280537621831,Other,no
Female,160.52209245672782,I,Red,Brown,364916.60668608954,46.75331181467169,Other,yes
Male,173.80275987563624,I,Dark,Brown,400629.0847516017,41.99897458807648,Other,no
Male,185.10516050950085,K,Dark,Green,237362.21002918106,33.355428917640836,Copenhagen,no
Female,167.52856613055454,J,Red,Green,135608.7969231769,23.199963193603622,Aarhus,yes
Male,173.70472817955266,I,Blond,Blue,334996.03287697927,48.1240332132611,Other,yes
Female,161.40175844382915,I,Dark,Green,305567.88588192605,41.96205448680524,Copenhagen,no
Male,181.11024027359238,J,Blond,Green,285790.79167338106,43.237460905506,Other,no
Female,160.72930455854274,I,Red,Brown,315391.3712024847,50.41650208693735,Copenhagen,no
Male,187.16205155129967,K,Red,Brown,217715.9217890281,24.31358480986674,Other,no
Female,167.2387873773469,J,Red,Brown,167619.90925319865,33.451382178779866,Other,yes
Male,175.5825537405192,I,Dark,Green,278590.2565294077,26.56162931891711,Aarhus,no
Female,169.91353349590912,K,Red,Brown,471734.4509048059,61.47827817597735,Copenhagen,yes
Male,183.1102903685434,J,Red,Brown,335606.9544471342,44.35385990383408,Other,yes
Female,160.3196183985562,I,Red,Brown,173256.38745718382,47.884815957399624,Other,yes
Female,165.02435570567002,J,Red,Brown,321661.1207124143,54.36942125249628,Copenhagen,yes
Female,159.73532854367846,I,Red,Brown,319367.86951486015,32.51951543677386,Aarhus,no
Male,177.15288503106763,I,Blond,Blue,319714.93719261425,35.55837873330671,Other,no
Female,163.68889791721148,I,Dark,Brown,561833.1726924311,72.68869656837184,Copenhagen,yes
Male,176.05745782592027,I,Red,Brown,106010.46086810573,4.759327287526768,Other,no
Female,161.6518966521897,I,Red,Brown,339556.9861462602,40.34186950270406,Other,no
Female,161.5225947915642,I,Dark,Green,326718.24481293536,37.274952789644445,Other,no
Female,161.29665659299727,I,Blond,Blue,333358.703538577,43.4551995211131,Copenhagen,no
Male,186.15488761155316,K,Blond,Blue,238352.10839565346,29.187670914805143,Other,no
Female,172.4204102295904,K,Red,Green,225316.13891835796,21.849586939381368,Copenhagen,no
Male,179.07582463217773,I,Dark,Brown,395041.6913969943,53.25474508315746,Copenhagen,yes
Male,175.78718429811886,I,Red,Brown,176807.13661252309,23.250220320429534,Aarhus,no
Male,179.21243342123142,J,Dark,Green,310705.36995414033,44.01872862261055,Copenhagen,no
Female,158.93316392718495,I,Blond,Blue,337079.8454641676,40.62507234786653,Copenhagen,no
Male,174.12824895531602,I,Blond,Blue,96861.72093656234,21.114628177591065,Other,no
Male,187.70488117395902,K,Blond,Blue,329618.90061298694,36.91779197916878,Copenhagen,no
Male,175.22845036726258,I,Blond,Blue,324030.7868641412,46.31367917723746,Copenhagen,yes
Female,162.7403963473875,I,Red,Brown,281567.37417680526,28.809898468684928,Aarhus,no
Male,175.80516718669566,I,Blond,Blue,427883.24266992125,55.74989027532899,Other,yes
Female,160.60131507635307,I,Blond,Blue,282732.9678435759,39.28754908567214,Copenhagen,no
Female,164.55734240995272,J,Dark,Green,205581.48197699152,19.43757266652421,Aarhus,no
Male,183.9131536782204,J,Red,Brown,308397.537117513,37.61461764924285,Other,yes
Male,175.24308705300012,I,Blond,Blue,565228.7882241086,76.7530818326479,Copenhagen,yes
Male,176.2552245858407,I,Dark,Brown,412601.12021658174,43.793631552222294,Other,no
Female,164.67524374004645,J,Blond,Green,394712.6533915192,63.766976946275754,Copenhagen,no
Female,158.94245279709546,I,Dark,Green,152925.08369176564,26.867132877073434,Copenhagen,no
Female,160.73660629991238,I,Dark,Green,316560.44202597055,39.38643742065925,Other,no
Female,166.76793651167975,J,Red,Brown,308556.40703364875,45.881316383581584,Other,yes
Female,164.07102652447628,I,Red,Blue,301095.8344044903,47.535033822205534,Other,yes
Male,172.98773353280887,I,Red,Brown,259489.1514963414,33.419088497953354,Copenhagen,no
Female,166.71677211889727,J,Blond,Blue,266480.8815134483,39.51159674314095,Other,no
Female,170.25399665342997,J,Red,Blue,342428.02492643683,44.49943136597859,Other,yes
Female,162.71570180077904,I,Blond,Brown,141665.97268157176,8.800847930115626,Aarhus,no
Male,179.87111537745264,J,Dark,Green,440125.67766224046,50.81819699520834,Aarhus,no
Female,162.99490459178944,I,Dark,Green,463076.42918122036,55.91890038763636,Copenhagen,no
Male,180.69638724628695,J,Red,Brown,365862.0284419657,46.55676709007095,Other,yes
Male,173.99765124905093,I,Blond,Blue,268082.49359058315,28.39674523986864,Aarhus,no
Male,175.9567987727467,I,Blond,Brown,421769.11933005846,63.622678097348924,Copenhagen,yes
Male,180.07989322514544,J,Blond,Blue,250493.8745771667,37.85299196979408,Other,no
Female,161.8969728627797,I,Dark,Green,264803.02189708786,31.52702906904953,Other,no
Male,175.5436837183712,I,Blond,Blue,336589.4179762245,33.108799994789486,Other,no
Male,182.0388953659068,J,Red,Brown,267796.5757280325,33.502964205414514,Other,yes
Female,160.83571259702157,I,Red,Brown,245809.70640108833,39.548865997587676,Other,no
Female,167.32452580900696,J,Blond,Blue,294456.0056128962,34.5713731754111,Other,no
Male,173.368902424084,I,Red,Blue,492030.7167007021,68.67891585365751,Other,yes
Male,177.45705038382638,J,Blond,Blue,229650.63563691042,36.39939349651685,Copenhagen,no
Female,173.83356623766602,K,Blond,Blue,363045.47161533794,40.753303964661,Other,no
Female,172.3052793872569,K,Red,Brown,334282.71427742305,37.32175993370743,Other,no
Male,188.62182780078714,K,Dark,Green,322070.33815704414,36.170379698216564,Other,no
Female,168.31125421931753,J,Red,Brown,281996.2930074186,25.75366770082572,Aarhus,yes
Male,176.26406392820567,I,Blond,Blue,185307.2669267959,35.968666334013605,Other,no
Male,176.2503635795519,I,Dark,Brown,281830.23745598434,44.32316935278387,Other,no
Female,160.15291695857726,I,Blond,Green,234846.44109450417,39.93331741748659,Other,no
Male,175.7269580302147,I,Dark,Green,396137.5221429232,43.524509907021574,Other,no
Male,172.1541530386412,I,Blond,Blue,318564.8093316777,30.820037100890342,Other,no
Female,168.67513221015108,J,Blond,Blue,376668.6090086657,51.984883448146476,Other,yes
Male,180.62427888410676,J,Blond,Green,388848.0644752975,36.55838271968598,Other,no
Female,170.40486642036424,J,Blond,Green,360454.0815742589,49.28999093851101,Other,no
Female,162.17314196459967,I,Blond,Blue,223432.32708940038,30.824434410216185,Other,no
Female,166.4305017426824,J,Dark,Blue,164820.28026661067,29.181951360047147,Other,no
Female,168.089812060357,J,Dark,Green,284569.8354689127,34.31416923747081,Other,no
Male,174.84547554045918,I,Blond,Blue,339035.331543639,43.95156176648966,Other,no
Female,166.5382074226828,I,Dark,Green,359905.9869243344,54.08943522585902,Other,no
Female,174.27519893531468,K,Red,Brown,285892.86566901545,36.22958357111238,Other,no
Female,163.27987299101636,I,Dark,Green,274677.0077116687,26.68568257203107,Aarhus,no
Female,158.73052657267817,I,Dark,Green,275806.9781149404,34.44509600721746,Copenhagen,no
Female,167.49126375806907,J,Dark,Green,343644.5783021935,45.286808691740426,Copenhagen,no
Male,173.99562247638363,I,Red,Brown,327242.00095179596,39.61879766584531,Other,no
Male,179.73562200137638,J,Red,Brown,298310.6055528902,36.641335762541104,Other,yes
Female,172.34174062209874,J,Red,Brown,213647.15420019123,30.28887869425069,Other,yes
Male,177.1874915741493,I,Blond,Blue,303226.7336216881,36.38235301629799,Other,no
Male,179.76614083132782,I,Dark,Green,232737.32015773095,30.501292178439545,Other,no
Female,166.37820062738533,J,Dark,Green,245706.57330454304,30.619719924880417,Other,no
